route_name,bstop_arrive_time,bstop_leave_time,stop_time,node_name,node_x_pos,node_y_pos
399,20200104065153,20200104065210,17,경산시장 건너(대구은행),128.73667,35.82367
990,20200104065153,20200104065201,8,당리경노당 건너,128.80035,35.81261
399,20200104065201,20200104065209,8,대륜중고등학교건너,128.65863,35.85334
399,20200104065211,20200104065226,16,경북권역재활병원,128.76477,35.81555
399,20200104065237,20200104065357,83,도시철도담티역(1번출구),128.65438,35.85471
990,20200104065237,20200104065248,11,용전리(용성방향),128.92575,35.77452
399,20200104065240,20200104065313,34,중앙초교,128.73331,35.82209
990,20200104065240,20200104065245,6,계남입구(자인방향),128.80825,35.81475
399,20200104065244,20200104065252,8,갑제삼거리(자인방향),128.76767,35.81561
압량1,20200104065255,20200104065303,8,경산시청앞,128.74243,35.82603
991,20200104065307,20200104065313,6,담티고개2,128.66593,35.85067
990,20200104065309,20200104065316,7,농업기술센터 건너,128.81302,35.81568
399,20200104065310,20200104065317,7,평산동(남성초등학교),128.77523,35.81273
399,20200104065325,20200104065333,8,평산동(남성초등학교 건너),128.77372,35.81308
990,20200104065329,20200104065341,12,용전리아래마을,128.92143,35.77241
압량1,20200104065333,20200104065345,12,경산시청별관(경산농협),128.74043,35.82397
399,20200104065339,20200104065407,29,국민건강보험공단(경산역),128.73051,35.82081
399,20200104065342,20200104065355,13,옥산네거리(경산방향),128.7267,35.82404
990,20200104065346,20200104065358,12,자인삼거리(자인방향),128.818,35.81526
399,20200104065351,20200104065359,9,갑제삼거리(경산방향),128.76955,35.81498
남산2,20200104065356,20200104065419,24,대구대종점,128.85188,35.89653
991,20200104065401,20200104065410,10,대륜중고등학교건너,128.65869,35.85332
399,20200104065402,20200104065408,6,신천입구(자인방향),128.77933,35.81169
990,20200104065406,20200104065415,9,자인시장입구(자인방향),128.81992,35.81652
399,20200104065415,20200104065432,18,수성대학교건너,128.65199,35.85599
991,20200104065416,20200104065424,8,갑제동회관 건너,128.76413,35.82973
399,20200104065417,20200104065424,7,진못(자인방향),128.7821,35.8113
399,20200104065418,20200104065427,10,서부1동행정복지센터,128.72809,35.82149
399,20200104065424,20200104065432,8,경북권역재활병원 건너,128.76617,35.81608
남산2,20200104065430,20200104065439,9,대구대(정문1),128.85064,35.89716
991,20200104065436,20200104065446,10,도시철도담티역(1번출구),128.65452,35.8548
압량1,20200104065442,20200104065453,11,경산시장 건너(대구은행),128.73663,35.82373
